Id,As a,I want to,So that I can,Author(so we can discuss later),Comments
34,Student,Share my current status,So people know what I am up to,Yaroslav,
35,Student,Filter friends/users by age,To see only people of age range I want,Yaroslav,
36,Student,Filter Collegies/Universities by county/city,To faster find users I am looking for,Yaroslav,
37,Student,Add my photos collections/albums,To share what I like,Yaroslav,
38,Student,Create a navigation bar,Add navigation bar with tabs,Yaroslav,
39,Student,Create a burger menu for mobile view,For people coming to site from mobiles,Yaroslav,slides from the edge of the screen should open burger menu
40,Student,Research: possible to add feature to search a user by photo,To upload a photo of user and find his/her profile,Yaroslav,
41,Student,More application customization ,Change background image or color,Yaroslav,
42,Business,Add place for teachers,So not only students can use the app,Yaroslav,
